url,source,httpStatus,redirected,redirectLocation,robotsBlocked,noindex,canonical,canonicalSelf,inSitemap,internalLinked,hubLinked,issues,error
https://nursenest.ca/blog/ar-intl-arrhythmia-syncope-monitoring-intl-topic-081,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-arrhythmia-syncope-monitoring-intl-topic-109,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-arrhythmia-syncope-monitoring-intl-topic-137,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-cap-severity-nursing-intl-topic-014,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-cap-severity-nursing-intl-topic-042,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-cap-severity-nursing-intl-topic-070,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-cap-severity-nursing-intl-topic-098,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-cap-severity-nursing-intl-topic-126,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-clabsi-prevention-care-intl-topic-013,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-clabsi-prevention-care-intl-topic-041,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-clabsi-prevention-care-intl-topic-069,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-clabsi-prevention-care-intl-topic-097,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-clabsi-prevention-care-intl-topic-125,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-coagulation-procedure-bleeding-intl-topic-020,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-coagulation-procedure-bleeding-intl-topic-048,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
https://nursenest.ca/blog/ar-intl-coagulation-procedure-bleeding-intl-topic-076,sitemap-blog,200,false,,false,false,,false,true,false,false,canonical_missing|not_internally_linked|not_linked_from_hub,
